Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Pawn (6, 4) --> (4, 4)
Move [2 - Client]: White Horse (0, 6) --> (2, 5)
Move [3 - Random]: Black Bishop (7, 5) --> (2, 0)
Move [4 - Client]: White Pawn (1, 1) --> (2, 0) eaten Black Bishop
Move [5 - Random]: Black Pawn (6, 7) --> (5, 7)
Move [6 - Client]: White Horse (2, 5) --> (4, 4) eaten Black Pawn
Move [7 - Random]: Black Tower (7, 7) --> (6, 7)
Move [8 - Client]: White Horse (4, 4) --> (6, 5) eaten Black Pawn
Move [9 - Random]: Black Horse (7, 6) --> (6, 4)
Move [10 - Client]: White Horse (6, 5) --> (5, 3)
Move [11 - Random]: Black Pawn (6, 1) --> (4, 1)
Move [12 - Client]: White Tower (0, 0) --> (0, 1)
Move [13 - Random]: Black Pawn (5, 7) --> (4, 7)
Move [14 - Client]: White Tower (0, 1) --> (1, 1)
Move [15 - Random]: Black Bishop (7, 2) --> (5, 0)
Move [16 - Client]: White Tower (1, 1) --> (0, 1)
Move [17 - Random]: Black Pawn (6, 2) --> (5, 3) eaten White Horse
Move [18 - Client]: White Tower (0, 1) --> (4, 1) eaten Black Pawn
Move [19 - Random]: Black Queen (7, 3) --> (6, 2)
Move [20 - Client]: White Tower (4, 1) --> (7, 1) eaten Black Horse
Move [21 - Random]: Black Pawn (6, 0) --> (4, 0)
Move [22 - Client]: White Tower (7, 1) --> (7, 0) eaten Black Tower
Move [23 - Random]: Black Horse (6, 4) --> (4, 3)
Move [24 - Client]: White Tower (7, 0) --> (7, 1)
Move [25 - Random]: Black Horse (4, 3) --> (2, 4)
Move [26 - Client]: White Tower (7, 1) --> (7, 0)
Move [27 - Random]: Black King (7, 4) --> (6, 4)
Move [28 - Client]: White Tower (7, 0) --> (7, 4)
Move [29 - Random]: Black Bishop (5, 0) --> (7, 2)
Move [30 - Client]: White Tower (7, 4) --> (6, 4) eaten Black King
Player 0 - Client: White wins. Game finished. 
