Move [0 - MeuClient]: White Horse (0, 1) --> (2, 2)
Move [1 - 1_ProfClient]: Black Pawn (6, 5) --> (4, 5)
Move [2 - MeuClient]: White Horse (0, 6) --> (2, 5)
Move [3 - 1_ProfClient]: Black Horse (7, 1) --> (5, 0)
Move [4 - MeuClient]: White Pawn (1, 3) --> (3, 3)
Move [5 - 1_ProfClient]: Black Horse (5, 0) --> (3, 1)
Move [6 - MeuClient]: White Pawn (1, 4) --> (3, 4)
Move [7 - 1_ProfClient]: Black Pawn (4, 5) --> (3, 4) eaten White Pawn
Move [8 - MeuClient]: White Horse (2, 2) --> (3, 4) eaten Black Pawn
Move [9 - 1_ProfClient]: Black Pawn (6, 0) --> (4, 0)
Move [10 - MeuClient]: White Bishop (0, 2) --> (2, 4)
Move [11 - 1_ProfClient]: Black Pawn (6, 3) --> (4, 3)
Move [12 - MeuClient]: White Bishop (0, 5) --> (2, 3)
Move [13 - 1_ProfClient]: Black Pawn (4, 3) --> (3, 4) eaten White Horse
Move [14 - MeuClient]: White Bishop (2, 3) --> (3, 4) eaten Black Pawn
Move [15 - 1_ProfClient]: Black Bishop (7, 2) --> (3, 6)
Move [16 - MeuClient]: White Queen (0, 3) --> (2, 3)
Move [17 - 1_ProfClient]: Black Horse (3, 1) --> (2, 3) eaten White Queen
Move [18 - MeuClient]: White Bishop (3, 4) --> (2, 3) eaten Black Horse
Move [19 - 1_ProfClient]: Black Bishop (3, 6) --> (2, 5) eaten White Horse
Move [20 - MeuClient]: White King (0, 4) --> (0, 5)
Move [21 - 1_ProfClient]: Black Bishop (2, 5) --> (3, 6)
Move [22 - MeuClient]: White King (0, 5) --> (0, 6)
Move [23 - 1_ProfClient]: Black Pawn (6, 7) --> (4, 7)
Move [24 - MeuClient]: White Tower (0, 0) --> (0, 3)
Move [25 - 1_ProfClient]: Black Bishop (3, 6) --> (0, 3) eaten White Tower
Move [26 - MeuClient]: White Pawn (3, 3) --> (4, 3)
Move [27 - 1_ProfClient]: Black Queen (7, 3) --> (4, 3) eaten White Pawn
Move [28 - MeuClient]: White Bishop (2, 4) --> (3, 5)
Move [29 - 1_ProfClient]: Black Queen (4, 3) --> (1, 0) eaten White Pawn
Move [30 - MeuClient]: White Bishop (3, 5) --> (2, 6)
Move [31 - 1_ProfClient]: Black Pawn (6, 2) --> (4, 2)
Move [32 - MeuClient]: White Bishop (2, 6) --> (3, 5)
Move [33 - 1_ProfClient]: Black Queen (1, 0) --> (1, 1) eaten White Pawn
Move [34 - MeuClient]: White Bishop (3, 5) --> (2, 6)
Move [35 - 1_ProfClient]: Black Horse (7, 6) --> (5, 5)
Move [36 - MeuClient]: White Bishop (2, 6) --> (3, 5)
Move [37 - 1_ProfClient]: Black Horse (5, 5) --> (3, 6)
Move [38 - MeuClient]: White Bishop (3, 5) --> (2, 6)
Move [39 - 1_ProfClient]: Black Tower (7, 7) --> (5, 7)
Move [40 - MeuClient]: White Bishop (2, 6) --> (3, 5)
Move [41 - 1_ProfClient]: Black Tower (5, 7) --> (5, 5)
Move [42 - MeuClient]: White Bishop (3, 5) --> (2, 6)
Move [43 - 1_ProfClient]: Black Pawn (6, 6) --> (4, 6)
Move [44 - MeuClient]: White Bishop (2, 6) --> (3, 5)
Move [45 - 1_ProfClient]: Black Tower (5, 5) --> (3, 5) eaten White Bishop
Move [46 - MeuClient]: White Bishop (2, 3) --> (3, 4)
Move [47 - 1_ProfClient]: Black Tower (3, 5) --> (3, 4) eaten White Bishop
Move [48 - MeuClient]: White Pawn (1, 7) --> (2, 7)
Move [49 - 1_ProfClient]: Black Horse (3, 6) --> (4, 4)
Move [50 - MeuClient]: White Pawn (2, 7) --> (4, 0) eaten Black Pawn
Move [51 - 1_ProfClient]: Black Tower (7, 0) --> (4, 0) eaten White Pawn
Move [52 - MeuClient]: White Tower (0, 7) --> (1, 7)
Move [53 - 1_ProfClient]: Black Queen (1, 1) --> (1, 2) eaten White Pawn
Move [54 - MeuClient]: White Tower (1, 7) --> (0, 7)
Move [55 - 1_ProfClient]: Black Tower (4, 0) --> (0, 0)
Move [56 - MeuClient]: White Tower (0, 7) --> (1, 7)
Move [57 - 1_ProfClient]: Black Tower (3, 4) --> (0, 4)
Move [58 - MeuClient]: White Tower (1, 7) --> (0, 7)
Move [59 - 1_ProfClient]: Black Tower (0, 4) --> (0, 6) eaten White King
Player 1 - 1_ProfClient: Black wins. Game finished. 
